id,title,thumbnail,short_description,game_url,genre,platform,publisher,developer,release_date,profile_url
163,Card Hunter,https://www.mmobomb.com/g/163/thumbnail.jpg,"Card Hunter is a 2D browser-based game that combines elements of a trading card game and table-top gaming. Developed and published by Blue Manchu, Card Hunter gives players the experience to play as a person, playing a role-playing game.",https://www.mmobomb.com/open/card-hunter,Card Game,"PC (Windows), Web Browser",Blue Manchu,Blue Manchu,2015-07-14,https://www.mmobomb.com/card-hunter
104,Fallout Shelter,https://www.mmobomb.com/g/104/thumbnail.jpg,"In Fallout Shelter, you'll populate and manage the citizens of your Vault-Tec Vault, protecting them from the dangers of the Wasteland.",https://www.mmobomb.com/open/fallout-shelter,Strategy,PC (Windows),Bethesda Game Studios,Bethesda Game Studios,2015-06-14,https://www.mmobomb.com/fallout-shelter
388,Lord’s Road,https://www.mmobomb.com/g/388/thumbnail.jpg,"Lord’s Road is a free-to-play 2D browser-based fantasy MMORPG that features two playable classes. While some players may call its simple two-class system (Warrior and Mage) limiting, many players enjoy the fresh challenge that Lord’s Road has placed before them.",https://www.mmobomb.com/open/lords-road,MMORPG,Web Browser,AMZGame,AMZGame,2015-06-03,https://www.mmobomb.com/lords-road
167,Salem,https://www.mmobomb.com/g/167/thumbnail.jpg,"Salem is a free-to-play crafting MMORPG developed by Seatribe and Mortal Moments, Inc. Players will experience an enormous open-world colonial setting where creation is the goal and all the necessary materials are for the taking – and permanent death is a real possibility.",https://www.mmobomb.com/open/salem,MMORPG,PC (Windows),Mortal Moments,John Carver,2015-06-19,https://www.mmobomb.com/salem
168,Heroes of the Storm,https://www.mmobomb.com/g/168/thumbnail.jpg,"Heroes of the Storm is a fast-paced MOBA from Blizzard Entertainment which pits heroes (and villains) from each of the studio's iconic universes against each other in several objective oriented maps. Unlike other MOBA's, HoTS forgoes items and traditional ability progression, in favor of passive augmentations to their abilities which players can choose from at set level intervals.",https://www.mmobomb.com/open/heroes-of-the-storm,MOBA,PC (Windows), Blizzard Entertainment, Blizzard Entertainment,2015-06-02,https://www.mmobomb.com/heroes-of-the-storm
169,Dirty Bomb,https://www.mmobomb.com/g/169/thumbnail.jpg,"Dirty Bomb, formerly developed under the title Extraction, is a free-to-play MMOFPS developed by Splash Damage and published by Nexon. Set in a post-apocalyptic London, Dirty Bomb boasts a “higher skill ceiling” than other free-to-play shooters in that controllers are not natively supported and no auto aim or aim assist system is used forcing players to develop faster reactions and strategies through gameplay.",https://www.mmobomb.com/open/dirty-bomb,Shooter,PC (Windows),"
Warchest Ltd.",Splash Damage,2015-06-01,https://www.mmobomb.com/dirty-bomb
347,Elvenar,https://www.mmobomb.com/g/347/thumbnail.jpg,"In InnoGames' Elvenar, you can build an epic fantasy city, populated by elves or humans, and watch it grow into a sprawling metropolis, awash in riches and brimming with military might. The elves have powerful magic at their disposal, while humans are well-versed in the arts of war.",https://www.mmobomb.com/open/elvenar,Strategy,Web Browser,InnoGames,InnoGames,2015-04-08,https://www.mmobomb.com/elvenar
357,Vikings: War Of Clans,https://www.mmobomb.com/g/357/thumbnail.jpg,"In Vikings: War of Clans, it's up to you to take on the challenge of managing your village, leading your warriors on raids, and becoming a jarl worthy of song! You'll start off small, with just a single ruined village under your control.",https://www.mmobomb.com/open/vikings-war-of-clans,Strategy,Web Browser,Plarium,Plarium,2015-04-15,https://www.mmobomb.com/vikings-war-of-clans
391,Star Trek: Alien Domain,https://www.mmobomb.com/g/391/thumbnail.jpg,"Star Trek: Alien Domain is a free-to-play sci-fi strategy game played in a web browser. The game features a new Star Trek story, dozens of new starships and alien species.",https://www.mmobomb.com/open/star-trek-alien-domain,Strategy,Web Browser,GameSamba,GameSamba,2015-04-07,https://www.mmobomb.com/star-trek-alien-domain
177,Dungeon Fighter Online,https://www.mmobomb.com/g/177/thumbnail.jpg,Dungeon Fighter Online is a free 2D arcade-style action MMORPG.,https://www.mmobomb.com/open/dungeon-fighter-online,Fighting,PC (Windows),Neople,Neople (Subsidiary of Nexon),2015-03-24,https://www.mmobomb.com/dungeon-fighter-online
56,Grimoire: Manastorm,https://www.mmobomb.com/g/56/thumbnail.jpg,"Sling spells, not guns, in Grimoire: Manastorm, a magic free-to-play FPS from Omniconnection. Take on all comers in PvP deathmatches or intense control-point battles.",https://www.mmobomb.com/open/grimoire-manastorm,Shooter,PC (Windows),Omniconnection,Omniconnection,2015-02-04,https://www.mmobomb.com/grimoire-manastorm
